English,Afrikaans
Heilsberg,heilsberg 
streets,strate 
fine,boete 
this,this 
marked,gemerk 
mothers,moeders 
counted,getelegrafeer 
samurai,samurai 
west,wes 
look,look 
historical,historiese 
muck,vuilgoed 
gerd,gerd 
arrive,arriveer 
whale,walvis 
positions,posisies 
calatsch,kalatsch 
worries,sorge 
luggage,baggasie 
sounds,klanke 
rime,romeense 
came over,oorgekom 
early,vroeë 
found,opgespoor 
koroku,koroku 
fuel,brandstof 
gateway,poort 
brilliant,briljante 
fast,vinnige 
excluded,uitgesluit 
nourish,voed 
helpless,hulpeloos 
squint,skeel 
Russian,russies 
stroke,streel 
education,onderwys 
infringement,oortreding 
inspection,inspeksie 
hunters,jagters 
walt,wals 
tragic,tragiese 
attend,bywoon 
ton,ton 
chickens,hoenders 
peek,loer 
nervous,senuagtig 
Euro,euro 
Monday,maandag 
up,up 
restaurant,restaurant 
number,aantal 
election,verkiesing 
imprison,opsluit 
incident,insident 
outbreak,uitbreek 
lenny,lenny 
Holrio,holdrio 
weiss,weiss 
chicken,hoender 
tickets,kaartjies 
August,augustus 
program,program 
choices,keuses 
dinner,etenstyd 
swan,swaan 
moreno,moreno 
drama,drama 
irritate,irriteer 
look,pryk 
withdrawn,teruggetrokke 
grandchildren,kleinkinders 
trauma,trauma 
treatment,behandeling 
accident,verongeluk 
scab,roof 
kansas,kansas 
construction,konstruksie 
breath,adem 
frankfurt,frankfurt 
motive,motief 
notice,agterkom 
flavor,geur 
stiff,stief 
intimate,intieme 
plead,pleit 
alpöhi,alpöhi 
dresses,rokke 
exclusive,eksklusief 
department,departement 
valence,valence 
tank,tenk 
contempt,minagting 
skins,velle 
curiosity,nuuskierigheid 
jewel,juweel 
virginie,virginie 
will,testament 
descend,afkom 
Belgium,belgië 
Meynard,meynard 
shear,skerwe 
exception,uitsondering 
bog,bog 
explosive,plofstof 
opportunities,geleenthede 
shared,gedeel 
quite,heeltemaal 
master,meiereder 
permission,permissie 
brotherhood,brotherhood 
spend,bestee 
congratulate,gelukwens 
c,c 
picture,prent 
spontaneous,spontaan 
dumb,simpel 
compound,verbinding 
nikolai,nikolai 
excellent,voortreflike 
pillow,kussing 
stink,stank 
gentle-crossing,sag-ruisend 
rotten,verrotte 
behind,agterkant 
e,e 
doll,poppie 
there,there 
prime,prima 
autism,outisme 
Chris,chris 
rather,eerder 
loan,loon 
completed,voldoen 
January,januarie 
sow,saai 
federal,federale 
rural,plattelandse 
petrol,petrol 
community,gemeenskap 
Benjamin,benjamin 
seal,robbins 
passport,paspoort 
done,gedaan 
literally,letterlik 
hey,hey 
only,only 
over,over 
crazy,dol 
suspect,verdink 
bennie,bennie 
the Netherlands,nederland 
c-,c- 
from it,daaruit 
fizz,bruis 
goals,doelwitte 
brother,boet 
film,verfilm 
daughter -in -law,skoondogter 
stepy,stiefie 
death certificate,doodsertifikaat 
Dear,geagte 
foaming,skuimende 
loud,luid 
pasture,weiveld 
try,probie 
every time,telkens 
elevated,verhewe 
then,then 
again,weldra 
decreased,afgeneem 
im,im 
soon,binnekort 
depth,diepte 
kilometers,kilometers 
view,bekyk 
Hendrik,hendrik 
release,loslaat 
medication,medikasie 
incidents,gevalle 
literature,literatuur 
harder,moeiliker 
female,vroulike 
robbers,rowers 
nonsense,nonsens 
texting,sms 
cigarette,sigaret 
Nadira,nadira 
noble,adelikes 
fed,gevoer 
servant,dienaar 
skull,skedel 
aunt,tannie 
mouse,muis 
nobility,adel 
pathetic,pateties 
Helena,helena 
claudette,claudette 
kent,kent 
by itself,vanself 
calculate,bereken 
core,kern 
Americans,amerikaners 
instructions,instruksies 
climate,klimaat 
move,oorgaan 
precondition,voorwaarde 
Johann,johann 
quicker,gouer 
father -in -law,skoonpa 
Netherlands,nederlande 
pictures,prente 
look,voorkoms 
agreed,afgespreek 
heart broken,hartseer 
upper,boonste 
image,beeld 
angers,angers 
repaired,reggemaak 
announced,aangekondig 
complete,afhandel 
maintain,onderhou 
kings,konings 
madman,malman 
frightened,skrikgemaak 
locked,toegesluit 
gödöllö,gödöllö 
studio,studio 
strangle,verwurg 
security police,veiligheidspolisie 
legion,legioen 
boots,stewels 
tolerate,duld 
disgrace,onteer 
principal,aanvoerder 
complained,gekla 
traitor,verraaier 
Leonid,leonid 
six,six 
make,make 
adjourn,verdaag 
take off,afhaal 
package,pakkie 
uncertain,onseker 
strive,streef 
helmet,helm 
inspire,inspireer 
recipe,resep 
sigh,sugte 
wheel,wiel 
corporal,korporaal 
ravoux,ravoux 
profit,wins 
captive,vasgevang 
glide,sweef 
trumpet player,trompetspeler 
kidnapped,ontvoer 
threaten,gedreig 
speed,spoed 
produce,voortbring 
madeira,madeira 
chaplain,kapelaan 
song,liedjie 
sever,afsny 
claw,klou 
luxury,luukse 
depend,afhang 
argument,argument 
heroes,helde 
lyons,lyons 
wolzogen,wolzogen 
exciting,opwindend 
corfu,corfu 
buttocks,boude 
for that,daartoe 
expressed,uitgedruk 
Athens,athene 
inspiration,inspirasie 
united,verenig 
ravage,verniel 
killers,moordenaars 
Hamilton,hamilton 
public,publieke 
innkeeper,herbergier 
hans,hans 
ancestors,voorvaders 
toothache,tandpyn 
period,tydperk 
embarrassment,verleentheid 
keep,verwyl 
crisis,krisis 
noble,adellike 
nobles,adellikes 
acknowledgment,erkenning 
glasses,glase 
workroom,werkkamer 
first -class,eersteklas 
dulcamara,dulcamara 
members,lede 
slogan,slagspreuk 
actress,aktrise 
exceptional,uitsonderlik 
south,suide 
Janek,janek 
cells,selle 
doubt,betwyfel 
region,streek 
humble,nederige 
honor,erewoord 
enchanting,betowerend 
endure,uithou 
dentist,tandarts 
drunk,besope 
numbers,getalle 
ink,ink 
planet,planet 
driven,gedryf 
game,speletjie 
kisses,soene 
neat,netjiese 
messenger,boodskapper 
models,modelle 
approximate,benader 
cannon,kanon 
armed,bewapen 
adopt,aanneem 
diplomacy,diplomasie 
cleaned,skoongemaak 
disposal,beskikking 
orphanages,weeshuise 
safer,veiliger 
masterpiece,meesterstuk 
end,tooi 
leyla,leyla 
capital,hoofstad 
finish,klaarkry 
grin,grinnik 
disbelief,ongeloof 
fluorine acid,fluoorsuur 
vegetables,groente 
enter,ingegaan 
broken,gebreekte 
spots,kolle 
accommodate,bevat 
dedicated,toegewyd 
rotten,verrot 
reading,voorlees 
acted,opgetree 
glasses,bril 
rejoice,verbly 
suddenly,skielike 
toes,tone 
absolute,absolute 
fierce,heftig 
slightest,geringste 
good,goeddoen 
consuming,verterende 
crew,bemanning 
rinse,spoel 
refugees,vlugtelinge 
suspect,verdagte 
edge,rand 
amateur,amateur 
crossed,gekruis 
larry,larry 
characters,karakters 
stolen,gesteelde 
entrance,ingang 
December,remember 
selfishness,selfsugtigheid 
vulnerable,kwesbaar 
discretion,diskresie 
better,better 
battlefield,slagveld 
inspector,inspekteur 
flick,flik 
guard,skerm 
old age,oudag 
reflect,nadink 
extraordinary,buitengewone 
brothel,bordeel 
sorry,sorry 
identified,geïdentifiseer 
again,again 
vary,wissel 
expel,verdryf 
cabin,kaboel 
ditch,sloot 
sip,slukkie 
wish,toewens 
knowledge,kenneth 
stripes,strepe 
Hank,hank 
incorporate,ingee 
evoked,opgeroep 
looked after,opgepas 
ascend,opstyg 
landing,landing 
rolf,rolf 
zinc,sink 
titanic,titanic 
trixie,trixie 
underworld,onderwêreld 
clipman,clipman 
OFF,off 
exam,eksamen 
Stadium,stadium 
delivered,gelewer 
flying,vliëende 
use,behulp 
kilo,kilo 
illegal,onwettige 
Heinrich-Heine Street,heinrich-heine-straat 
e,ste 
should,should 
traps,strikke 
male,manlike 
accompaniment,begeleiding 
jelly,jellie 
Spanish,spaanse 
firmament,firmament 
motel,motel 
found,afgekom 
bach,bach 
freer,vryer 
breeze,brëe 
view,siening 
du,du 
orders,bestellings 
renatka,renatka 
minimum,minimum 
approved,goedgekeur 
sunrise,sonsopkoms 
Committee,kommitee 
terrorism,terrorisme 
your fat,jouvet 
lovely,lieflikste 
excellent,voortreflik 
walking stick,kierie 
pupil,leerling 
playground,speelgrond 
thrive,floreer 
re,re 
monkey,apie 
ferret,fret 
back cover,rugdekking 
chops,cheops 
Wallersee,wallersee 
stonehenge,stonehenge 
typed,getik 
tenth,tiende 
erected,opgerig 
sonata,sonata 
tannor,tanneur 
alps,alpe 
gent,gent 
unforgivable,onvergeeflik 
open air,opelugmis 
staff,beman 
scream,gegil 
ice,ys 
ministry,ministerie 
from,afkomstig 
arrived,gearriveer 
illnesses,siektes 
dessert,nagereg 
slip,glip 
journal,joernaal 
young men,jongmanne 
thanked,gedank 
sweat,sweet 
Rottenmeier,rottenmeier 
winner,wenner 
site,werf 
fool,dwase 
ingest,ingeneem 
compromise,kompromis 
aim,mik 
Martha,marta 
rivers,riviere 
knee,knie 
benefactor,weldoener 
hymn,psalm 
support,ondersteuning 
grow up,grootword 
glossy,glaeske 
introduce,inbring 
aspect,aspek 
economic,ekonomiese 
jet,straal 
overload,oorlaai 
said,gese 
tractor,trekker 
home,tuiste 
same,selfde 
decorate,versier 
communism,kommunisme 
elements,elemente 
stable,stal 
BC,vc 
slow,stadige 
priests,priesters 
unfaithful,ontrou 
weaker,swakker 
pitter,bejammer 
sue,dagvaar 
piles,hope 
Christian,christen 
conquer,oorwin 
senses,sintuie 
shake,geskud 
aurier,aurier 
suspended,geskors 
vlissingen,vlissingen 
victories,oorwinnings 
waste,verspil 
minister,dominee 
query,navraag 
sit down,aansit 
stubborn,koppig 
hymn,lofgesang 
occupy,beklee 
used,gebruikte 
so-not,so-nie 
erich,erich 
adults,grootmense 
truths,waarhede 
best fever,bestevaer 
naive,naïf 
recovery,genesing 
differences,verskille 
reconcile,versoen 
mud,modder 
contents,inhoud 
watched,dopgehou 
conversations,gesprekke 
augment,vermeerder 
filled,gevul 
directions,aanwysings 
reference,getuigskrif 
respected,gerespekteer 
control,verrig 
plastic,plastiek 
poop,poepol 
bleed,gebloei 
fabritius,fabritius 
laborer,arbeider 
enchant,betower 
other way around,andersom 
goatkeeper,bokwagter 
humiliating,vernederend 
embankment,wal 
Xavier,xavier 
handed,ingegee 
moved,getrek 
immortality,onsterflikheid 
hyp,hiep 
Vineyard,wingerd 
humor,humor 
cousins,neefs 
rochelle,rochelle 
offspring,nageslag 
failure,mislukking 
posts,poste 
official,amptelik 
train,oplei 
back,back 
jawel,jawel 
brush,kwas 
provocation,provokasie 
morning,morning 
moments,momente 
responsibilities,verpligtinge 
cathy,cathy 
first,first 
orleans,orléans 
o,o 
move,verhuis 
flore,flore 
claim,aanspraak 
pump,pomp 
word,woordjie 
license,lisensie 
vessel,vaartuig 
bright,bright 
shilling,sjieling 
shaft,skobbejak 
take back,terugneem 
just now,sopas 
unpleasant,onaangename 
aha,aha 
stock,voorraad 
opinion,mening 
memoirs,memoirs 
pierway,pierway 
Save,stoor 
mcguire,mcguire 
inflammation,ontsteker 
made up,opgemaak 
opened,geopen 
huygens,huygens 
humble,nederig 
principle,beginsel 
campaign,veldtog 
bent,gebuig 
magic,magiese 
hoist,hys 
lackey,lakei 
scouts,verkenners 
gender,geslag 
Greek,grieks 
guard,garde 
pistol,pistool 
throughput,deurbreek 
focus,fokus 
herein,hierin 
silence,stilmaak 
Songs,liedjies 
front,voorste 
mainframe,mainframe 
enrolled,ingeskryf 
checked,nagegaan 
hidden,verborge 
Emmanuelle,emmanuelle 
awarded,toegeken 
benton,benton 
motherland,moederland 
possess,besete 
impressive,indrukwekkend 
one,eina 
who,who 
bird,voëltjie 
warriors,krygers 
r,r 
trustworthy,betroubare 
capable,bekwame 
down,onderkry 
disappointment,teleurstelling 
ania,ania 
wild,woeste 
divulge,verklap 
infection,ontsteking 
enthusiastic,entoesiasties 
decisions,besluite 
ascend,bestyg 
burned,afgebrand 
typical,tipies 
radiant,stralende 
Franzie,franzie 
men's clothing,mansklere 
chevalier,chevalier 
Maldives,maldives 
decipher,ontsyfer 
moved,geskuif 
laborers,arbeiders 
surrender,oorgee 
des,des 
prague,praag 
because,because 
detail,detail 
lie,luit 
machines,masjiene 
sergent,sers 
rebuild,herbou 
gabs,gabs 
dollars,dollars 
genius,genië 
motschekiebchen,motschekiebchen 
stubborn,koppige 
ii,ii 
sixth,sesde 
unpleasant,onaangenaam 
give up,afstaan 
Beijing,beijing 
grieve,treur 
left over,oorgebly 
co,mede 
Cup,beker 
crunch,kekkel 
sweet,soet 
speaking,sprake 
tour,toere 
Easter,paasfees 
smelly,stinkende 
Württemberg,württemberg 
internet,internet 
would,would 
objection,beswaar 
stabbed,gesteek 
soft,sieg 
embrace,omhelsing 
porter,porter 
prisoner,gevangene 
mistake,foutjie 
brother -in -law,swaer 
creature,skepsel 
avanti,avanti 
invitations,uitnodigings 
virtue,deugde 
republicans,republikeine 
disorder,wanorde 
loneliness,eensaamheid 
corps,korps 
reliable,betroubaar 
exuberantly,uitbundig 
battery,battery 
genius,genie 
going,going 
young,jonge 
start,aanvang 
delay,vertraging 
Walter,walter 
bashan,bashan 
nicer,lekkerder 
away,wegraak 
guidance,leiding 
shorter,korter 
weight,gewig 
twitter,twitter 
angelica,angelika 
steal,besteel 
moniks,monikke 
lice,luise 
heart attack,hartaanval 
prophet,profeet 
flames,vlamme 
states,state 
gram,gram 
handcuff,boei 
in fact,trouens 
numbers,nommers 
shown,gewys 
December,desmet 
elevate,verhef 
decades,dekades 
worked out,uitgewerk 
our,onse 
make sure,sekermaak 
part,part 
partner,vennoot 
leftovers,oorblyfsels 
end,afloop 
burn,verbrou 
centimeter,sentimeter 
client,kliënt 
melt,gesmelt 
simonnin,simonnin 
cows,koeie 
downfall,ondergang 
puppets,puppets 
machaca,machaca 
inflict,aangesteek 
arise,opkom 
hide,wegsteekplek 
approach,benadering 
shop,winkel 
committed,gepleeg 
have,hè 
approve,goedkeur 
trap,strik 
chairs,stoele 
carved,afgeknou 
camer,kamiel 
manufacture,vervaardig 
afterwards,agterna 
atlantic,atlantiese 
hup,hup 
Mr.,mnr. 
scale,skaal 
Christian,christelike 
again,nogmaals 
halt,gestaak 
becer,becker 
majority,meerderheid 
dress,jurk 
gloves,handskoene 
comfort,getroos 
sum,som 
hitmen,hitmen 
finger,vinger 
tales,verhale 
evil,boosheid 
civil war,burgeroorlog 
bogaerts,bogaerts 
EYLAU,eylau 
faith,faith 
Olympic,olimpiese 
chan,chan 
gong,gong 
sandwiches,toebroodjies 
switched,afgeskakel 
virginia,virginia 
field marshal,veldmaarskalk 
taken away,weggevat 
curtains,gordyne 
war council,krygsraad 
Secretary,sekretaresse 
cuba,kuba 
mother killer,moeder-moordenaar 
pneumonia,longontsteking 
schools,skole 
contemptible,veragtelik 
butter,botter 
egg,eier 
know,know 
exported,uitgevoer 
hotel room,hotelkamer 
challenge,uitdaging 
slain,gesneuwel 
dam,dam 
golf,golf 
ripe,ryp 
quarters,kwartiere 
fell in,ingeval 
line,linie 
perish,omgekom 
silent,swyg 
duel,tweegeveg 
along with,daarlangs 
wow,sjoe 
slaying,slanery 
reduce,verminder 
scholarship,beurs 
marathon salt,marathon-sout 
official,amptenaar 
prisoners,gevangenes 
outstanding,uitstaande 
exelence,ekselensie 
sweets,lekkergoed 
village,dorptoe 
phase,fase 
experience,ervaar 
rest,resl 
rescue,redding 
bulk,lading 
coastgate,kuswag 
Godeschal,godeschal 
nohant,nohant 
independent,onafhanklik 
terence,terence 
candidate,kandidaat 
him,him 
loyal,lojale 
whiting,whiting 
field,field 
neglect,nagelaat 
terrain,terrein 
such,sulkes 
province,provinsie 
cry,ween 
sermon,preek 
why,why 
ugly,lelike 
run,gehardloop 
centre,sentrum 
parade,parade 
return,return 
regular,gereelde 
relive,herleef 
expectant,verwagtend 
traveler,reisiger 
patient,sieke 
graves,grafte 
messages,boodskappe 
signals,seine 
find,bevind 
blur,vertroebel 
knot,knoop 
de,de 
great,grotes 
leroy,leroy 
test,beproef 
teacher,juf 
uncles,ooms 
fish,visvang 
quarter,kwart 
oats,hawer 
chad,chad 
unbearable,ondraaglik 
sew,naaldwerk 
rays,strale 
front page,voorblad 
ramirez,ramirez 
rejoice,verheugd 
branch,tak 
Hilda,hilda 
hog,varkhok 
many,heelwat 
petzmacher,petzmacher 
dead,dode 
close,dig 
authority,outoriteit 
slut,slette 
cook,cook 
published,gepubliseer 
slower,stadiger 
piss,pis 
splendor,prag 
treasures,skatte 
permanent,permanent 
kazmi,kazmi 
footer,voeter 
Dutch,nederlandse 
hide,skuil 
endless,eindelose 
chapotel,chapotel 
pause,pouse 
anita,anita 
miraculous,wonderbaar 
experiment,eksperiment 
humanity,mensheid 
fair,regverdige 
geertje,geertje 
aggravate,vererger 
principals,beginsels 
walk away,wegloop 
saint,heiliges 
back yard,agterplaas 
central,sentrale 
values,waardes 
be,saamwees 
camus,camus 
lemon,suurlemoen 
crossroad,kruispad 
sunja,sonja 
hourglass,uurglas 
seemingly,skynbaar 
günther,günther 
medicine,medisyne 
begged,gesmeek 
rheumatism,rumatiek 
genius,genialiteit 
take away,wegvat 
some,klompie 
official,offisieel 
boiled,gekook 
authorization,magtiging 
ambition,ambisie 
circus,sirkus 
dialogue,dialoog 
damage,beskadig 
bullet,koeëlkop 
b,b 
feathers,vere 
feather,veer 
stains,vlekke 
Eagle,arend 
men,manskappe 
egg,eierkop 
ham,ham 
grief,verdriet 
recite,voordra 
drop,druppel 
bitten,gebyt 
mate,mate 
asylum,gestig 
proud,trotse 
Iraq,irak 
boletus,boletus 
piperatus,piperatus 
interfere,inmeng 
adults,volwassenes 
bond,bind 
American,amerikaans 
cherries,kersies 
Middle East,midde-ooste 
complaining,klae 
occupation,besetting 
worthless,waardeloos 
spot,kol 
eager,gretig 
oak,eik 
unspeakable,onuitspreeklike 
insert,insit 
fool,dwaas 
tanglois,langlois 
sens,sens 
mistake,vergis 
square,plein 
boring,vervelige 
belcore,belcore 
torn,verskeur 
fool,sot 
sheet music,bladmusiek 
valois,valois 
speechless,sprakeloos 
Saint-Paul,saint-paul 
utilize,benut 
technique,tegniek 
explore,verken 
peaceful,vreedsaam 
tête-a-tête,tête-a-tête 
vapor,dampierre 
jealousy,jaloesie 
rear end,agterent 
newcomer,nuweling 
hung,opgehang 
shoulders,skouers 
pose,poseer 
surveys,opnames 
fluid,vloeiende 
dependent,afhanklik 
pronounce,uitspreek 
stupidity,domheid 
darker,donkerder 
coninck,coninck 
khartov,khartov 
shadow,skaduwee 
truck,vragmotor 
really,waarlik 
embrace,omarm 
cent,sent 
schumann,schumann 
claim,opeis 
iodla,jodla 
influence,beïnvloed 
scala,scala 
price,price 
heavier,swaarder 
face,aankyk 
nothing,niksnut 
love,versot 
bullet,koeël 
produce,produseer 
left side,linkerkant 
halfway,halfpad 
powerful,kragtige 
transport,vervoer 
love stories,liefdesverhale 
thrown,gegooi 
Jacob,jacob 
bonjour,bonjour 
delicious,heerliker 
audience,toeskouers 
Muskadel wine,muskadelwyn 
randy,randy 
mix,vermeng 
considerate,bedagsaam 
dissatisfied,ontevrede 
contacts,kontakte 
glorify,verheerlik 
lonely,eensame 
roll,roll 
prayer,gebed 
soccer,sokker 
pick,pluk 
real,werklike 
Switzerland,switserland 
crimes,misdade 
unexpected,onverwagte 
there,daars 
hull,romp 
glory,heerlikheid 
date,datum 
Michalak,michalak 
baptism,doop 
sins,sondes 
development,ontwikkeling 
unchanging,onveranderlik 
overwhelming,oorweldigend 
precious,waardevol 
enroll,inskryf 
estrid,estrid 
solid,soliede 
back door,agterdeur 
deploy,ontplooi 
formally,formeel 
wide,wyd 
climb,inklim 
basically,basiese 
trick,toertjie 
brutal,brutaal 
energy,energie 
tongue,tong 
temple,tempel 
songs,liedere 
pianist,pianis 
accomplish,beul 
brackets,hakies 
forehead,voorkop 
dagger,dolk 
jackie,jackie 
alert,waaksaam 
coming,komende 
tatta,tatta 
goose,gans 
barracks,barakke 
worlds,wêrelde 
cloths,lappe 
frivol,ligsinnig 
outposts,buiteposte 
turns,beurte 
worthy,waardig 
Heimat,heimat 
albin,albin 
committee,komitee 
make,uitmaak 
impotent,impotent 
noblily,edelmoedig 
lay down,neerlê 
round,ronde 
doors,deure 
yourself,jyself 
sent away,weggestuur 
Dutch,nederlanders 
locate,opspoor 
weak,swaksinnig 
delayed,vertraagde 
milan,milan 
plot,komplot 
poop rolls,poepolle 
dangers,gevare 
regiment,regiment 
meeting,vergader 
navarra,navarra 
theologian,teoloog 
Johanna,johanna 
bump,stamp 
bush,bosse 
authority,kenner 
sister,sustertjie 
file,dossier 
overseas,oorsee 
adventure,avontuur 
crystal,kristal 
squeak,piepie 
broken,gebroke 
swing,swaai 
high,hoogstens 
bounce,bons 
pronunciation,uitspraak 
sixemann,sesemann 
primitive,primitiewe 
invigorating,verkwikkend 
love drink,liefdesdrank 
berlin,berlyner 
powerful,magtigste 
served,gedien 
terrorists,terroriste 
fairy tales,sprokies 
recent,onlangse 
lire,lire 
long,lanklaas 
experienced,gebewe 
jannemics,jannemieke 
govaert,govaert 
different,verskillend 
raphaelle,raphaëlle 
ex,ex 
diary,dagboek 
lab,lab 
fired,afgedank 
sister -in -law,skoonsuster 
rogier,rogier 
karl,karl 
stone pillars,klippilare 
universe,heelal 
something,ietsie 
Henriette,henriette 
daily,daily 
colored,gekleur 
cow,koei
